Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.09879673,-20.10515,-4.207666,1.629426
1,0.09859923,-20.12253,-4.225173,1.614128
10,0.09859101,-20.12325,-4.637591,1.650581
50,0.09823554,-20.15463,-6.855041,1.482326
100,0.09758788,-20.21208,-9.31902,1.324632
200,0.09611093,-20.34455,-14.47072,1.023883
300,0.09362608,-20.57206,-19.15846,1.143498
400,0.09146485,-20.77492,-23.68722,0.9651902
500,0.08887801,-21.02411,-27.65152,1.114354
600,0.08575274,-21.33504,-32.56737,1.401061
700,0.0818638,-21.73816,-35.66962,3.070539
800,0.08142483,-21.78486,-38.2794,1.420147
900,0.07898326,-22.0493,-39.73539,1.602863
1000,0.07724699,-22.24237,-44.13668,1.433629
1200,0.07265198,-22.77505,-46.16013,2.811962
1400,0.06997855,-23.1007,-50.97713,4.467068
1600,0.06730622,-23.4389,-59.36257,7.03085
1800,0.06507774,-23.73135,-60.59697,1.737692
2000,0.0630108,-24.0117,-65.83086,1.763447
